날짜,홈,어웨이,예측,확률,배당,결과,켈리 비율,진입,자본금 변화,날짜별 초기 잔액,잔액
11/19,Phoenix Suns,Orlando Magic,Orlando Magic,0.52,1.78,승,0.0,0.0,0.0,1070.180805,926.7765771
11/19,Sacramento Kings,Atlanta Hawks,Sacramento Kings,0.711,1.55,패,0.1,107.0180805,-107.0180805,1070.180805,819.7584966
11/19,LA Clippers,Golden State Warriors,Golden State Warriors,0.527,1.58,패,0.0,0.0,0.0,1070.180805,819.7584966
11/20,Boston Celtics,Cleveland Cavaliers,Cleveland Cavaliers,0.634,2.88,패,0.1,81.97584966,-81.97584966,819.7584966,737.782647
11/20,Brooklyn Nets,Charlotte Hornets,Brooklyn Nets,0.549,1.65,승,0.0,0.0,0.0,819.7584966,737.782647
11/20,Memphis Grizzlies,Denver Nuggets,Memphis Grizzlies,0.656,1.44,패,0.0,0.0,0.0,819.7584966,737.782647
11/20,Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks,0.804,1.12,승,0.0,0.0,0.0,819.7584966,737.782647
11/20,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,0.589,1.22,패,0.0,0.0,0.0,819.7584966,737.782647
11/20,Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,0.813,1.17,승,0.0,0.0,0.0,819.7584966,737.782647
11/21,Cleveland Cavaliers,New Orleans Pelicans,Cleveland Cavaliers,0.868,1.1,승,0.0,0.0,0.0,737.782647,737.782647
11/21,Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,0.626,1.28,승,0.0,0.0,0.0,737.782647,737.782647
11/21,Oklahoma City Thunder,Portland Trail Blazers,Oklahoma City Thunder,0.724,1.13,승,0.0,0.0,0.0,737.782647,737.782647
11/21,Memphis Grizzlies,Philadelphia 76ers,Memphis Grizzlies,0.811,2.42,승,0.1,73.7782647,104.7651359,737.782647,842.5477828
11/21,Houston Rockets,Indiana Pacers,Houston Rockets,0.679,1.42,승,0.0,0.0,0.0,737.782647,842.5477828
11/21,Golden State Warriors,Atlanta Hawks,Golden State Warriors,0.69,1.31,승,0.0,0.0,0.0,737.782647,842.5477828
11/21,Phoenix Suns,New York Knicks,New York Knicks,0.581,1.49,승,0.0,0.0,0.0,737.782647,842.5477828
