날짜,홈,어웨이,예측,확률,배당,결과,켈리 비율,진입,자본금 변화,날짜별 초기 잔액,잔액
10/30,Golden State Warriors,New Orleans Pelicans,Golden State Warriors,0.724,2.18,승,0.1,77.95132973,91.98256908,779.5132973,793.5445366
10/31,Indiana Pacers,Boston Celtics,Boston Celtics,0.582,1.33,패,0.0,0.0,0.0,793.5445366,793.5445366
10/31,Charlotte Hornets,Toronto Raptors,Charlotte Hornets,0.671,1.37,승,0.0,0.0,0.0,793.5445366,793.5445366
10/31,Washington Wizards,Atlanta Hawks,Atlanta Hawks,0.567,1.53,패,0.0,0.0,0.0,793.5445366,793.5445366
10/31,Philadelphia 76ers,Detroit Pistons,Detroit Pistons,0.559,2.52,승,0.1,79.35445366,120.6187696,793.5445366,914.1633062
10/31,Cleveland Cavaliers,Los Angeles Lakers,Cleveland Cavaliers,0.706,1.48,승,0.0935,74.19641418,35.6142788,793.5445366,949.777585
10/31,Miami Heat,New York Knicks,Miami Heat,0.581,2.12,패,0.1,79.35445366,-79.35445366,793.5445366,870.4231313
10/31,Chicago Bulls,Orlando Magic,Orlando Magic,0.515,1.43,패,0.0,0.0,0.0,793.5445366,870.4231313
10/31,Memphis Grizzlies,Brooklyn Nets,Memphis Grizzlies,0.734,1.13,패,0.0,0.0,0.0,793.5445366,870.4231313
10/31,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,0.671,1.11,승,0.0,0.0,0.0,793.5445366,870.4231313
10/31,Golden State Warriors,New Orleans Pelicans,Golden State Warriors,0.692,1.7,승,0.1,79.35445366,55.54811756,793.5445366,925.9712489
10/31,LA Clippers,Portland Trail Blazers,LA Clippers,0.717,1.32,패,0.0,0.0,0.0,793.5445366,925.9712489
11/1,Memphis Grizzlies,Milwaukee Bucks,Memphis Grizzlies,0.551,2.88,승,0.1,92.59712489,174.0825948,925.9712489,1100.053844
11/1,Dallas Mavericks,Houston Rockets,Dallas Mavericks,0.643,1.42,패,0.0,0.0,0.0,925.9712489,1100.053844
11/1,Utah Jazz,San Antonio Spurs,San Antonio Spurs,0.592,2.1,승,0.1,92.59712489,101.8568374,925.9712489,1201.910681
11/01,LA Clippers,Phoenix Suns,LA Clippers,0.508,2.66,패,0.1,92.59712489,-92.59712489,925.9712489,1109.313556
11/02,Detroit Pistons,New York Knicks,New York Knicks,0.551,1.34,승,0.0,0.0,0.0,1109.313556,1109.313556
11/02,Cleveland Cavaliers,Orlando Magic,Cleveland Cavaliers,0.675,1.34,승,0.0,0.0,0.0,1109.313556,1109.313556
11/02,Charlotte Hornets,Boston Celtics,Boston Celtics,0.549,1.17,승,0.0,0.0,0.0,1109.313556,1109.313556
11/02,Brooklyn Nets,Chicago Bulls,Brooklyn Nets,0.64,1.74,승,0.1,110.9313556,82.08920316,1109.313556,1191.402759
11/02,Atlanta Hawks,Sacramento Kings,Sacramento Kings,0.666,1.45,승,0.0,0.0,0.0,1109.313556,1191.402759
11/02,Toronto Raptors,Los Angeles Lakers,Los Angeles Lakers,0.607,1.29,승,0.0,0.0,0.0,1109.313556,1191.402759
11/02,New Orleans Pelicans,Indiana Pacers,New Orleans Pelicans,0.519,2.36,승,0.1,110.9313556,150.8666436,1109.313556,1342.269403
11/02,Minnesota Timberwolves,Denver Nuggets,Minnesota Timberwolves,0.673,1.54,승,0.06744444444,74.81703651,40.40119972,1109.313556,1382.670603
11/02,Portland Trail Blazers,Oklahoma City Thunder,Oklahoma City Thunder,0.645,1.18,승,0.0,0.0,0.0,1109.313556,1382.670603
11/03,Charlotte Hornets,Boston Celtics,Charlotte Hornets,0.506,5.0,패,0.1,138.2670603,-138.2670603,1382.670603,1244.403542
11/03,Toronto Raptors,Sacramento Kings,Sacramento Kings,0.68,1.3,패,0.0,0.0,0.0,1382.670603,1244.403542
11/03,Philadelphia 76ers,Memphis Grizzlies,Memphis Grizzlies,0.63,1.93,승,0.1,138.2670603,128.5883661,1382.670603,1372.991908
11/03,Milwaukee Bucks,Cleveland Cavaliers,Cleveland Cavaliers,0.637,2.02,승,0.1,138.2670603,141.0324015,1382.670603,1514.02431
11/03,San Antonio Spurs,Minnesota Timberwolves,Minnesota Timberwolves,0.514,1.61,패,0.0,0.0,0.0,1382.670603,1514.02431
11/03,Houston Rockets,Golden State Warriors,Houston Rockets,0.635,1.51,패,0.0,0.0,0.0,1382.670603,1514.02431
11/03,Washington Wizards,Miami Heat,Washington Wizards,0.529,4.3,패,0.1,138.2670603,-138.2670603,1382.670603,1375.75725
11/03,Phoenix Suns,Portland Trail Blazers,Phoenix Suns,0.794,1.11,승,0.0,0.0,0.0,1382.670603,1375.75725
11/03,Denver Nuggets,Utah Jazz,Denver Nuggets,0.559,1.18,승,0.0,0.0,0.0,1382.670603,1375.75725
11/03,LA Clippers,Oklahoma City Thunder,Oklahoma City Thunder,0.508,1.43,승,0.0,0.0,0.0,1382.670603,1375.75725
11/04,Brooklyn Nets,Detroit Pistons,Brooklyn Nets,0.731,1.65,패,0.1,137.575725,-137.575725,1375.75725,1238.181525
11/04,New Orleans Pelicans,Atlanta Hawks,New Orleans Pelicans,0.576,1.61,패,0.0,0.0,0.0,1375.75725,1238.181525
11/04,Dallas Mavericks,Orlando Magic,Dallas Mavericks,0.561,1.36,승,0.0,0.0,0.0,1375.75725,1238.181525
11/05,Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,0.808,1.38,승,0.1,123.8181525,47.05089794,1238.181525,1285.232423
11/05,Washington Wizards,Golden State Warriors,Golden State Warriors,0.608,1.18,승,0.0,0.0,0.0,1238.181525,1285.232423
11/05,Detroit Pistons,Los Angeles Lakers,Los Angeles Lakers,0.641,1.34,패,0.0,0.0,0.0,1238.181525,1285.232423
11/05,Atlanta Hawks,Boston Celtics,Boston Celtics,0.565,1.21,승,0.0,0.0,0.0,1238.181525,1285.232423
11/05,Brooklyn Nets,Memphis Grizzlies,Brooklyn Nets,0.551,2.48,승,0.1,123.8181525,183.2508657,1238.181525,1468.483288
11/05,Miami Heat,Sacramento Kings,Sacramento Kings,0.564,1.86,승,0.05702325581,70.60514183,60.72042197,1238.181525,1529.20371
11/05,Chicago Bulls,Utah Jazz,Chicago Bulls,0.836,1.3,패,0.1,123.8181525,-123.8181525,1238.181525,1405.385558
11/05,Houston Rockets,New York Knicks,New York Knicks,0.577,1.76,패,0.02042105263,25.28497008,-25.28497008,1238.181525,1380.100588
11/05,Minnesota Timberwolves,Charlotte Hornets,Minnesota Timberwolves,0.679,1.21,승,0.0,0.0,0.0,1238.181525,1380.100588
11/05,Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,0.697,1.13,승,0.0,0.0,0.0,1238.181525,1380.100588
11/05,New Orleans Pelicans,Portland Trail Blazers,New Orleans Pelicans,0.6,1.74,패,0.05945945946,73.62160417,-73.62160417,1238.181525,1306.478984
11/05,Dallas Mavericks,Indiana Pacers,Dallas Mavericks,0.704,1.47,패,0.07421276596,91.88887571,-91.88887571,1238.181525,1214.590108
11/05,Denver Nuggets,Toronto Raptors,Denver Nuggets,0.725,1.18,승,0.0,0.0,0.0,1238.181525,1214.590108
11/05,Phoenix Suns,Philadelphia 76ers,Phoenix Suns,0.711,1.34,승,0.0,0.0,0.0,1238.181525,1214.590108
11/05,LA Clippers,San Antonio Spurs,LA Clippers,0.507,1.58,승,0.0,0.0,0.0,1238.181525,1214.590108
11/07,Charlotte Hornets,Detroit Pistons,Detroit Pistons,0.598,1.79,패,0.08913924051,108.2676397,-108.2676397,1214.590108,1106.322468
11/07,Indiana Pacers,Orlando Magic,Indiana Pacers,0.629,1.45,승,0.0,0.0,0.0,1214.590108,1106.322468
11/07,Atlanta Hawks,New York Knicks,New York Knicks,0.599,1.34,패,0.0,0.0,0.0,1214.590108,1106.322468
11/07,Boston Celtics,Golden State Warriors,Boston Celtics,0.576,1.39,패,0.0,0.0,0.0,1214.590108,1106.322468
11/07,Memphis Grizzlies,Los Angeles Lakers,Memphis Grizzlies,0.632,1.86,승,0.1,121.4590108,104.4547493,1214.590108,1210.777217
11/07,Houston Rockets,San Antonio Spurs,Houston Rockets,0.63,1.37,승,0.0,0.0,0.0,1214.590108,1210.777217
11/07,New Orleans Pelicans,Cleveland Cavaliers,Cleveland Cavaliers,0.706,1.36,승,0.0,0.0,0.0,1214.590108,1210.777217
11/07,Dallas Mavericks,Chicago Bulls,Dallas Mavericks,0.69,1.23,승,0.0,0.0,0.0,1214.590108,1210.777217
11/07,Denver Nuggets,Oklahoma City Thunder,Oklahoma City Thunder,0.598,1.37,패,0.0,0.0,0.0,1214.590108,1210.777217
11/07,Phoenix Suns,Miami Heat,Phoenix Suns,0.708,1.53,승,0.1,121.4590108,64.37327572,1214.590108,1275.150493
11/07,Sacramento Kings,Toronto Raptors,Sacramento Kings,0.781,1.17,승,0.0,0.0,0.0,1214.590108,1275.150493
11/07,LA Clippers,Philadelphia 76ers,LA Clippers,0.745,1.83,승,0.1,121.4590108,100.810979,1214.590108,1375.961472
11/08,Chicago Bulls,Minnesota Timberwolves,Minnesota Timberwolves,0.583,1.24,승,0.0,0.0,0.0,1375.961472,1375.961472
11/08,Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,0.6,1.27,승,0.0,0.0,0.0,1375.961472,1375.961472
11/08,San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,0.737,1.58,승,0.1,137.5961472,79.80576538,1375.961472,1455.767237
11/09,Charlotte Hornets,Indiana Pacers,Indiana Pacers,0.566,1.37,패,0.0,0.0,0.0,1455.767237,1455.767237
11/09,Detroit Pistons,Atlanta Hawks,Detroit Pistons,0.563,1.82,승,0.03007317073,43.77953668,35.89922008,1455.767237,1491.666458
11/09,Orlando Magic,New Orleans Pelicans,Orlando Magic,0.639,1.41,승,0.0,0.0,0.0,1455.767237,1491.666458
11/09,Boston Celtics,Brooklyn Nets,Boston Celtics,0.628,1.12,승,0.0,0.0,0.0,1455.767237,1491.666458
11/09,New York Knicks,Milwaukee Bucks,New York Knicks,0.668,1.38,승,0.0,0.0,0.0,1455.767237,1491.666458
11/09,Cleveland Cavaliers,Golden State Warriors,Cleveland Cavaliers,0.585,1.6,승,0.0,0.0,0.0,1455.767237,1491.666458
11/09,Dallas Mavericks,Phoenix Suns,Dallas Mavericks,0.651,1.72,패,0.1,145.5767237,-145.5767237,1455.767237,1346.089734
11/09,Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,0.657,1.32,승,0.0,0.0,0.0,1455.767237,1346.089734
11/09,Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,0.586,1.3,승,0.0,0.0,0.0,1455.767237,1346.089734
11/09,Denver Nuggets,Miami Heat,Denver Nuggets,0.567,1.68,승,0.0,0.0,0.0,1455.767237,1346.089734
11/09,Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves,0.76,1.13,승,0.0,0.0,0.0,1455.767237,1346.089734
11/09,Los Angeles Lakers,Philadelphia 76ers,Los Angeles Lakers,0.748,1.32,승,0.0,0.0,0.0,1455.767237,1346.089734
11/09,Sacramento Kings,LA Clippers,Sacramento Kings,0.671,1.4,패,0.0,0.0,0.0,1455.767237,1346.089734
11/10,San Antonio Spurs,Utah Jazz,San Antonio Spurs,0.827,1.41,패,0.1,134.6089734,-134.6089734,1346.089734,1211.48076
11/10,Cleveland Cavaliers,Brooklyn Nets,Cleveland Cavaliers,0.822,1.12,승,0.0,0.0,0.0,1346.089734,1211.48076
11/10,Atlanta Hawks,Chicago Bulls,Atlanta Hawks,0.507,1.65,패,0.0,0.0,0.0,1346.089734,1211.48076
11/10,LA Clippers,Toronto Raptors,LA Clippers,0.718,1.39,승,0.0,0.0,0.0,1346.089734,1211.48076
11/11,Detroit Pistons,Houston Rockets,Detroit Pistons,0.513,2.62,패,0.1,121.148076,-121.148076,1211.48076,1090.332684
11/11,Milwaukee Bucks,Boston Celtics,Boston Celtics,0.613,1.56,승,0.0,0.0,0.0,1211.48076,1090.332684
11/11,Indiana Pacers,New York Knicks,New York Knicks,0.512,1.62,패,0.0,0.0,0.0,1211.48076,1090.332684
11/11,Orlando Magic,Washington Wizards,Orlando Magic,0.64,1.25,승,0.0,0.0,0.0,1211.48076,1090.332684
11/11,Oklahoma City Thunder,Golden State Warriors,Oklahoma City Thunder,0.584,1.34,패,0.0,0.0,0.0,1211.48076,1090.332684
11/11,Philadelphia 76ers,Charlotte Hornets,Charlotte Hornets,0.606,2.36,패,0.1,121.148076,-121.148076,1211.48076,969.1846083
11/11,Minnesota Timberwolves,Miami Heat,Minnesota Timberwolves,0.734,1.32,패,0.0,0.0,0.0,1211.48076,969.1846083
11/11,Phoenix Suns,Sacramento Kings,Phoenix Suns,0.52,1.79,패,0.0,0.0,0.0,1211.48076,969.1846083
11/11,Denver Nuggets,Dallas Mavericks,Denver Nuggets,0.545,1.47,승,0.0,0.0,0.0,1211.48076,969.1846083
11/11,Portland Trail Blazers,Memphis Grizzlies,Memphis Grizzlies,0.7,1.82,승,0.1,121.148076,99.34142235,1211.48076,1068.526031
11/11,Los Angeles Lakers,Toronto Raptors,Los Angeles Lakers,0.735,1.17,승,0.0,0.0,0.0,1211.48076,1068.526031
11/12,San Antonio Spurs,Sacramento Kings,Sacramento Kings,0.544,1.7,패,0.0,0.0,0.0,1068.526031,1068.526031
11/12,New Orleans Pelicans,Brooklyn Nets,Brooklyn Nets,0.62,1.85,승,0.1,106.8526031,90.82471261,1068.526031,1159.350743
11/12,Houston Rockets,Washington Wizards,Houston Rockets,0.669,1.16,승,0.0,0.0,0.0,1068.526031,1159.350743
11/12,Oklahoma City Thunder,LA Clippers,Oklahoma City Thunder,0.672,1.34,승,0.0,0.0,0.0,1068.526031,1159.350743
11/12,Chicago Bulls,Cleveland Cavaliers,Cleveland Cavaliers,0.585,1.29,승,0.0,0.0,0.0,1068.526031,1159.350743
11/13,Orlando Magic,Charlotte Hornets,Orlando Magic,0.628,1.31,승,0.0,0.0,0.0,1159.350743,1159.350743
11/13,Boston Celtics,Atlanta Hawks,Boston Celtics,0.844,1.07,패,0.0,0.0,0.0,1159.350743,1159.350743
11/13,Detroit Pistons,Miami Heat,Detroit Pistons,0.504,2.04,승,0.02707692308,31.39165089,32.64731693,1159.350743,1191.99806
11/13,Philadelphia 76ers,New York Knicks,New York Knicks,0.688,1.64,승,0.1,115.9350743,74.19844757,1159.350743,1266.196508
11/13,Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,0.571,1.28,승,0.0,0.0,0.0,1159.350743,1266.196508
11/13,Utah Jazz,Phoenix Suns,Phoenix Suns,0.718,1.43,승,0.06218604651,72.09543924,31.00103888,1159.350743,1297.197547
